Année,Montréal,Québec (RMR),Gatineau,Sherbrooke,Trois-Rivières,Saguenay,Laval,Longueuil,Lévis,Sainte-Foy–Sillery–Cap-Rouge,Québec moyen,Montréal - variation (%),Québec (RMR) - variation (%),Gatineau - variation (%),Sherbrooke - variation (%),Trois-Rivières - variation (%),Saguenay - variation (%),Laval - variation (%),Longueuil - variation (%),Lévis - variation (%),Sainte-Foy–Sillery–Cap-Rouge - variation (%),Québec moyen - variation (%)
1970,27533.91639004709,21055.34782768307,22674.989968274076,18625.88461679656,16196.421405910052,14576.779265319046,25914.274249456084,25104.45317916058,21055.34782768307,24294.63210886508,22674.989968274076,,,,,,,,,,,
1971,28910.612209549447,22108.115219067222,23808.739466687777,19557.17884763639,17006.242476205556,15305.618228584999,27209.987961928888,26359.675838118612,22108.115219067222,25509.363714308336,23808.739466687777,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982
1972,30356.14282002691,23213.520980020578,24999.176440022162,20535.037790018207,17856.55460001583,16070.899140014248,28570.487360025327,27677.659630024536,23213.520980020578,26784.831900023746,24999.176440022162,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.99999999999996,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982
1973,31873.949961028262,24374.19702902161,26249.135262023276,21561.78967951912,18749.382330016622,16874.444097014963,29999.0117280266,29061.54261152577,24374.19702902161,28124.073495024935,26249.135262023276,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027
1974,33467.64745907968,25592.906880472696,27561.592025124442,22639.879163495076,19686.851446517456,17718.16630186571,31498.962314427932,30514.61974210206,25592.906880472696,29530.277169776185,27561.592025124442,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004
1975,35141.029832033666,26872.552224496332,28939.671626380663,23771.873121669832,20671.194018843333,18604.074616959,33073.910430149335,32040.350729207163,26872.552224496332,31006.791028265,28939.671626380663,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004
1976,36898.08132363535,28216.179835721152,30386.6552076997,24960.46677775332,21704.753719785498,19534.27834780695,34727.6059516568,33642.36826566752,28216.179835721152,32557.13057967825,30386.6552076997,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1977,38742.98538981711,29626.988827507208,31905.987968084683,26208.490116640987,22789.991405774774,20510.992265197296,36463.986249239635,35324.486678950896,29626.988827507208,34184.98710866216,31905.987968084683,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,4.999999999999982,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004
1978,40680.13465930797,31108.338268882562,33501.28736648892,27518.914622473043,23929.490976063513,21536.541878457163,38287.18556170162,37090.71101289844,31108.338268882562,35894.236464095266,33501.28736648892,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004
1979,42714.14139227337,32663.7551823267,35176.35173481336,28894.86035359669,25125.96552486669,22613.36897238002,40201.54483978671,38945.24656354337,32663.7551823267,37688.94828730003,35176.35173481336,5.000000000000004,5.000000000000027,4.999999999999982,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,4.999999999999982
1980,44849.84846188704,34296.942941443034,36935.169321554036,30339.60337127653,26382.263801110024,23744.037420999026,42211.62208177604,40892.50889172054,34296.942941443034,39573.395701665046,36935.169321554036,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027
1981,47092.3408849814,36011.79008851519,38781.92778763174,31856.583539840358,27701.37699116553,24931.239292048976,44322.203185864855,42937.134336306575,36011.79008851519,41552.065486748295,38781.92778763174,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1982,49446.95792923047,37812.379592940946,40721.02417701333,33449.412716832376,29086.44584072381,26177.801256651426,46538.31334515809,45083.99105312191,37812.379592940946,43629.66876108571,40721.02417701333,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004
1983,51919.30582569199,39702.998572587996,42757.075385863995,35121.883352674,30540.768132759997,27486.691319483998,48865.229012416,47338.19060577799,39702.998572587996,45811.15219914,42757.075385863995,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000027,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004
1984,54515.2711169766,41688.1485012174,44894.9291551572,36877.9775203077,32067.806539398,28861.0258854582,51308.490463036804,49705.1001360669,41688.1485012174,48101.709809097,44894.9291551572,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027
1985,57241.03467282542,43772.55592627827,47139.67561291506,38721.87639632308,33671.19686636789,30304.077179731103,53873.91498618864,52190.355142870234,43772.55592627827,50506.79529955184,47139.67561291506,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.99999999999996,5.000000000000004,4.999999999999982,5.000000000000004
1986,60103.0864064667,45961.183722592184,49496.65939356082,40657.97021613924,35354.75670968629,31819.281038717665,56567.61073549807,54799.87290001376,45961.183722592184,53032.13506452944,49496.65939356082,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004
1987,63108.240726790034,48259.2429087218,51971.49236323886,42690.8687269462,37122.494545170615,33410.24509065355,59395.99127227298,57539.86654501445,48259.2429087218,55683.741817755916,51971.49236323886,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1988,66263.65276312955,50672.20505415789,54570.0669814008,44825.41216329352,38978.61927242915,35080.757345186226,62365.79083588663,60416.85987226517,50672.20505415789,58467.92890864372,54570.0669814008,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004
1989,69576.83540128602,53205.81530686579,57298.570330470844,47066.682771458196,40927.55023605061,36834.79521244555,65484.08037768097,63437.70286587844,53205.81530686579,61391.3253540759,57298.570330470844,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004
1990,73055.67717135034,55866.106072209084,60163.498846994386,49420.01691003111,42973.92774785314,38676.53497306782,68758.28439656502,66609.58800917237,55866.106072209084,64460.8916217797,60163.498846994386,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1991,76708.46102991785,58659.41137581952,63171.67378934411,51891.01775553266,45122.624135245795,40610.36172172121,72196.19861639327,69940.06740963098,58659.41137581952,67683.93620286869,63171.67378934411,4.999999999999982,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004
