Année,Montréal,Québec (RMR),Gatineau,Sherbrooke,Trois-Rivières,Saguenay,Laval,Longueuil,Lévis,Sainte-Foy–Sillery–Cap-Rouge,Québec moyen,Montréal - variation (%),Québec (RMR) - variation (%),Gatineau - variation (%),Sherbrooke - variation (%),Trois-Rivières - variation (%),Saguenay - variation (%),Laval - variation (%),Longueuil - variation (%),Lévis - variation (%),Sainte-Foy–Sillery–Cap-Rouge - variation (%),Québec moyen - variation (%)
1970,39334.166271495844,30079.068325261527,32392.84281182011,26608.406595423658,23137.74486558579,20823.97037902721,37020.39178493727,35863.504541657974,30079.068325261527,34706.61729837869,32392.84281182011,,,,,,,,,,,
1971,41300.87458507064,31583.021741524604,34012.48495241111,27938.826925194844,24294.63210886508,21865.168897978572,38871.41137418413,37656.679768740876,31583.021741524604,36441.948163297624,34012.48495241111,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1972,43365.91831432416,33162.17282860083,35713.109200031664,29335.76827145458,25509.36371430833,22958.427342877498,40814.981942893326,39539.51375717791,33162.17282860083,38264.0455714625,35713.109200031664,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982
1973,45534.21423004038,34820.28147003087,37498.76466003325,30802.556685027314,26784.83190002375,24106.348710021375,42855.731040038,41516.489445036816,34820.28147003087,40177.24785003562,37498.76466003325,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004
1974,47810.9249415424,36561.295543532426,39373.70289303492,32342.684519278682,28124.07349502494,25311.666145522446,44998.517592039905,43592.31391728866,36561.295543532426,42186.11024253741,39373.70289303492,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004
1975,50201.47118861952,38389.36032070905,41342.388037686665,33959.81874524262,29530.27716977619,26577.249452798573,47248.443471641905,45771.929613153094,38389.36032070905,44295.41575466429,41342.388037686665,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1976,52711.5447480505,40308.828336744504,43409.507439571,35657.80968250475,31006.791028265,27906.1119254385,49610.865645224,48060.52609381075,40308.828336744504,46510.1865423975,43409.507439571,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1977,55347.12198545302,42324.26975358173,45579.98281154955,37440.700166629984,32557.13057967825,29301.417521710424,52091.4089274852,50463.552398501284,42324.26975358173,48835.695869517374,45579.98281154955,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,4.999999999999982
1978,58114.47808472568,44440.48324126081,47858.981952127026,39312.73517496149,34184.987108662164,30766.488397795947,54695.97937385946,52986.73001842635,44440.48324126081,51277.48066299324,47858.981952127026,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004
1979,61020.20198896196,46662.507403323856,50251.93104973338,41278.37193370956,35894.23646409527,32304.812817685746,57430.77834255244,55636.066519347674,46662.507403323856,53841.35469614291,50251.93104973338,5.000000000000004,5.000000000000027,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004
1980,64071.212088410066,48995.632773490055,52764.527602220056,43342.29053039505,37688.94828730004,33920.05345857004,60302.317259680065,58417.869845315065,48995.632773490055,56533.422430950064,52764.527602220056,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027
1981,67274.77269283058,51445.41441216456,55402.753982331065,45509.4050569148,39573.395701665046,35616.05613149854,63317.43312266408,61338.76333758082,51445.41441216456,59360.09355249757,55402.753982331065,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1982,70638.51132747211,54017.685132772785,58172.89168144762,47784.875309760544,41552.0654867483,37396.85893807347,66483.30477879728,64405.70150445987,54017.685132772785,62328.09823012245,58172.89168144762,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1983,74170.4368938457,56718.56938941142,61081.53626552,50174.11907524857,43629.66876108571,39266.70188497714,69807.47001773714,67625.98657968285,56718.56938941142,65444.50314162857,61081.53626552,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004,4.999999999999982,4.999999999999982,5.000000000000004,4.999999999999982,5.000000000000004,5.000000000000004,5.000000000000004
1984,77878.958738538,59554.497858882,64135.61307879601,52682.825029011,45811.15219914,41230.036979226,73297.84351862401,71007.285908667,59554.497858882,68716.72829871,64135.61307879601,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004
1985,81772.9066754649,62532.2227518261,67342.3937327358,55316.96628046155,48101.709809096996,43291.538828187295,76962.7356945552,74557.65020410034,62532.2227518261,72152.5647136455,67342.3937327358,5.000000000000004,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,4.999999999999982,4.999999999999982,4.999999999999982,5.000000000000004,4.999999999999982,4.999999999999982
1986,85861.55200923815,65658.83388941741,70709.5134193726,58082.81459448463,50506.79529955185,45456.11576959667,80810.87247928296,78285.53271430537,65658.83388941741,75760.19294932777,70709.5134193726,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004
1987,90154.62960970006,68941.77558388829,74244.98909034123,60986.955324208866,53032.13506452945,47728.9215580765,84851.41610324712,82199.80935002065,68941.77558388829,79548.20259679417,74244.98909034123,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004
1988,94662.36109018508,72388.8643630827,77957.2385448583,64036.303090419315,55683.74181775592,50115.36763598033,89093.98690840948,86309.79981752168,72388.8643630827,83525.61272663389,77957.2385448583,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1989,99395.47914469433,76008.30758123685,81855.10047210121,67238.11824494028,58467.92890864373,52621.136017779354,93548.68625382996,90625.28980839778,76008.30758123685,87701.89336296558,81855.10047210121,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004
1990,104365.25310192906,79808.72296029869,85947.85549570627,70600.0241571873,61391.32535407592,55252.19281866832,98226.12056652147,95156.55429881767,79808.72296029869,92086.98803111387,85947.85549570627,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004
1991,109583.51575702551,83799.15910831362,90245.24827049159,74130.02536504666,64460.89162177971,58014.802459601735,103137.42659484754,99914.38201375854,83799.15910831362,96691.33743266956,90245.24827049159,5.000000000000004,4.999999999999982,5.000000000000004,4.999999999999982,4.999999999999982,5.000000000000004,5.000000000000004,4.999999999999982,4.999999999999982,5.000000000000004,5.000000000000004
1992,115062.69154487678,87989.11706372931,94757.51068401618,77836.526633299,67683.9362028687,60915.54258258183,108294.29792458992,104910.10111444649,87989.11706372931,101525.90430430304,94757.51068401618,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000004
1993,120815.82612212065,92388.57291691579,99495.386218217,81728.35296496397,71068.13301301215,63961.31971171093,113709.01282081944,110155.60617016883,92388.57291691579,106602.19951951822,99495.386218217,5.000000000000027,5.000000000000004,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000027,5.000000000000004,5.000000000000027,5.000000000000004
