Année,Montréal,Québec (RMR),Gatineau,Sherbrooke,Trois-Rivières,Saguenay,Laval,Longueuil,Lévis,Sainte-Foy–Sillery–Cap-Rouge,Québec moyen,Montréal - variation (%),Québec (RMR) - variation (%),Gatineau - variation (%),Sherbrooke - variation (%),Trois-Rivières - variation (%),Saguenay - variation (%),Laval - variation (%),Longueuil - variation (%),Lévis - variation (%),Sainte-Foy–Sillery–Cap-Rouge - variation (%),Québec moyen - variation (%)
1970,52802.0,43448.0,43484.0,35719.0,31060.0,27954.0,49696.0,48143.0,40378.0,46590.0,43484.0,,,,,,,,,,,
1971,55442.0,45620.0,45658.0,37505.0,32613.0,29352.0,52181.0,50550.0,42397.0,48920.0,45658.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1972,58214.0,47901.0,47941.0,39380.0,34244.0,30819.0,54790.0,53078.0,44517.0,51366.0,47941.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1973,61125.0,50296.0,50338.0,41349.0,35956.0,32360.0,57530.0,55732.0,46743.0,53934.0,50338.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1974,64181.0,52811.0,52855.0,43417.0,37754.0,33978.0,60406.0,58518.0,49080.0,56631.0,52855.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1975,67390.0,55451.0,55498.0,45588.0,39641.0,35677.0,63426.0,61444.0,51534.0,59462.0,55498.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1976,70760.0,58224.0,58273.0,47867.0,41624.0,37461.0,66598.0,64516.0,54111.0,62435.0,58273.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1977,74298.0,61135.0,61187.0,50260.0,43705.0,39334.0,69928.0,67742.0,56816.0,65557.0,61187.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1978,78013.0,64192.0,64246.0,52773.0,45890.0,41301.0,73424.0,71129.0,59657.0,68835.0,64246.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1979,81914.0,67401.0,67458.0,55412.0,48184.0,43366.0,77095.0,74686.0,62640.0,72277.0,67458.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1980,86009.0,70771.0,70831.0,58183.0,50594.0,45534.0,80950.0,78420.0,65772.0,75890.0,70831.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1981,90310.0,74310.0,74373.0,61092.0,53123.0,47811.0,84997.0,82341.0,69060.0,79685.0,74373.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1982,94825.0,78026.0,78091.0,64146.0,55779.0,50202.0,89247.0,86458.0,72513.0,83669.0,78091.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1983,99566.0,81927.0,81996.0,67354.0,58568.0,52712.0,93710.0,90781.0,76139.0,87853.0,81996.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1984,104545.0,86023.0,86096.0,70721.0,61497.0,55347.0,98395.0,95320.0,79946.0,92245.0,86096.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1985,109772.0,90324.0,90400.0,74257.0,64572.0,58115.0,103315.0,100086.0,83943.0,96858.0,90400.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1986,115261.0,94841.0,94920.0,77970.0,67800.0,61020.0,108481.0,105090.0,88140.0,101700.0,94920.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1987,121024.0,99583.0,99666.0,81869.0,71190.0,64071.0,113905.0,110345.0,92547.0,106786.0,99666.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1988,127075.0,104562.0,104650.0,85962.0,74750.0,67275.0,119600.0,115862.0,97175.0,112125.0,104650.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1989,133428.0,109790.0,109882.0,90260.0,78487.0,70639.0,125580.0,121655.0,102034.0,117731.0,109882.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1990,140100.0,115279.0,115376.0,94773.0,82412.0,74171.0,131859.0,127738.0,107135.0,123618.0,115376.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1991,147105.0,121043.0,121145.0,99512.0,86532.0,77879.0,138452.0,134125.0,112492.0,129798.0,121145.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1992,154460.0,127095.0,127202.0,104488.0,90859.0,81773.0,145374.0,140831.0,118117.0,136288.0,127202.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1993,162183.0,133450.0,133563.0,109712.0,95402.0,85862.0,152643.0,147873.0,124022.0,143103.0,133563.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1994,170292.0,140123.0,140241.0,115198.0,100172.0,90155.0,160275.0,155267.0,130224.0,150258.0,140241.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
