region,year,yoy_increase,median_price,scenario
Montréal,1970,0.05,35000.0,
Montréal,1971,0.05,36750.0,
Montréal,1972,0.05,38587.5,
Montréal,1973,0.05,40516.9,
Montréal,1974,0.05,42542.7,
Montréal,1975,0.05,44669.9,
Montréal,1976,0.05,46903.3,
Montréal,1977,0.05,49248.5,
Montréal,1978,0.05,51710.9,
Montréal,1979,0.05,54296.5,
Montréal,1980,0.08,57011.3,
Montréal,1981,0.08,61572.2,
Montréal,1982,0.08,66498.0,
Montréal,1983,0.08,71817.8,
Montréal,1984,0.08,77563.3,
Montréal,1985,0.08,83768.3,
Montréal,1986,0.08,90469.8,
Montréal,1987,0.08,97707.4,
Montréal,1988,0.08,105524.0,
Montréal,1989,0.08,113965.9,
Montréal,1990,0.04,123083.1,
Montréal,1991,0.04,128006.5,
Montréal,1992,0.04,133126.7,
Montréal,1993,0.04,138451.8,
Montréal,1994,0.04,143989.9,
Montréal,1995,0.04,149749.5,
Montréal,1996,0.04,155739.4,
Montréal,1997,0.04,161969.0,
Montréal,1998,0.04,168447.8,
Montréal,1999,0.04,175185.7,
Montréal,2000,0.06,182193.1,
Montréal,2001,0.06,193124.7,
Montréal,2002,0.06,204712.2,
Montréal,2003,0.06,216994.9,
Montréal,2004,0.06,230014.6,
Montréal,2005,0.06,243815.5,
Montréal,2006,0.06,258444.4,
Montréal,2007,0.06,273951.1,
Montréal,2008,0.06,290388.2,
Montréal,2009,0.06,307811.4,
Montréal,2010,0.05,326280.1,
Montréal,2011,0.05,342594.1,
Montréal,2012,0.05,359723.9,
Montréal,2013,0.05,377710.0,
Montréal,2014,0.05,396595.5,
Montréal,2015,0.05,416425.3,
Montréal,2016,0.05,437246.6,
Montréal,2017,0.05,459108.9,
Montréal,2018,0.05,482064.4,
Montréal,2019,0.05,506167.6,
Montréal,2020,0.07,531476.0,
Montréal,2021,0.08,614173.6,recent
Montréal,2021,0.06,602800.0,average
Montréal,2022,0.08,657165.8,recent
Montréal,2022,0.06,644996.0,average
Montréal,2023,0.08,703167.4,recent
Montréal,2023,0.06,690145.8,average
Montréal,2024,0.08,752389.1,recent
Montréal,2024,0.06,738456.0,average
Montréal,2025,0.08,805056.3,recent
Montréal,2025,0.06,790147.9,average
Québec (RMR),1970,0.05,30000.0,
Québec (RMR),1971,0.05,31500.0,
Québec (RMR),1972,0.05,33075.0,
Québec (RMR),1973,0.05,34728.8,
Québec (RMR),1974,0.05,36465.2,
Québec (RMR),1975,0.05,38288.4,
Québec (RMR),1976,0.05,40202.9,
Québec (RMR),1977,0.05,42213.0,
Québec (RMR),1978,0.05,44323.7,
Québec (RMR),1979,0.05,46539.8,
Québec (RMR),1980,0.08,48866.8,
Québec (RMR),1981,0.08,52776.2,
Québec (RMR),1982,0.08,56998.3,
Québec (RMR),1983,0.08,61558.1,
Québec (RMR),1984,0.08,66482.8,
Québec (RMR),1985,0.08,71801.4,
Québec (RMR),1986,0.08,77545.5,
Québec (RMR),1987,0.08,83749.2,
Québec (RMR),1988,0.08,90449.1,
Québec (RMR),1989,0.08,97685.0,
Québec (RMR),1990,0.04,105499.8,
Québec (RMR),1991,0.04,109719.8,
Québec (RMR),1992,0.04,114108.6,
Québec (RMR),1993,0.04,118673.0,
Québec (RMR),1994,0.04,123419.9,
Québec (RMR),1995,0.04,128356.7,
Québec (RMR),1996,0.04,133491.0,
Québec (RMR),1997,0.04,138830.6,
Québec (RMR),1998,0.04,144383.8,
Québec (RMR),1999,0.04,150159.2,
Québec (RMR),2000,0.06,156165.5,
Québec (RMR),2001,0.06,165535.5,
Québec (RMR),2002,0.06,175467.6,
Québec (RMR),2003,0.06,185995.7,
Québec (RMR),2004,0.06,197155.4,
Québec (RMR),2005,0.06,208984.7,
Québec (RMR),2006,0.06,221523.8,
Québec (RMR),2007,0.06,234815.2,
Québec (RMR),2008,0.06,248904.1,
Québec (RMR),2009,0.06,263838.4,
Québec (RMR),2010,0.05,279668.7,
Québec (RMR),2011,0.05,293652.1,
Québec (RMR),2012,0.05,308334.7,
Québec (RMR),2013,0.05,323751.5,
Québec (RMR),2014,0.05,339939.0,
Québec (RMR),2015,0.05,356936.0,
Québec (RMR),2016,0.05,374782.8,
Québec (RMR),2017,0.05,393521.9,
Québec (RMR),2018,0.05,413198.0,
Québec (RMR),2019,0.05,433857.9,
Québec (RMR),2020,0.07,455550.8,
Québec (RMR),2021,0.08,526434.5,recent
Québec (RMR),2021,0.06,516685.7,average
Québec (RMR),2022,0.08,563284.9,recent
Québec (RMR),2022,0.06,552853.7,average
Québec (RMR),2023,0.08,602714.9,recent
Québec (RMR),2023,0.06,591553.5,average
Québec (RMR),2024,0.08,644904.9,recent
Québec (RMR),2024,0.06,632962.3,average
Québec (RMR),2025,0.08,690048.3,recent
Québec (RMR),2025,0.06,677269.6,average
Gatineau,1970,0.05,32000.0,
Gatineau,1971,0.05,33600.0,
Gatineau,1972,0.05,35280.0,
Gatineau,1973,0.05,37044.0,
Gatineau,1974,0.05,38896.2,
Gatineau,1975,0.05,40841.0,
Gatineau,1976,0.05,42883.1,
Gatineau,1977,0.05,45027.2,
Gatineau,1978,0.05,47278.6,
Gatineau,1979,0.05,49642.5,
Gatineau,1980,0.08,52124.6,
Gatineau,1981,0.08,56294.6,
Gatineau,1982,0.08,60798.2,
Gatineau,1983,0.08,65662.0,
Gatineau,1984,0.08,70915.0,
Gatineau,1985,0.08,76588.2,
Gatineau,1986,0.08,82715.2,
Gatineau,1987,0.08,89332.5,
Gatineau,1988,0.08,96479.0,
Gatineau,1989,0.08,104197.4,
Gatineau,1990,0.04,112533.2,
Gatineau,1991,0.04,117034.5,
Gatineau,1992,0.04,121715.9,
Gatineau,1993,0.04,126584.5,
Gatineau,1994,0.04,131647.9,
Gatineau,1995,0.04,136913.8,
Gatineau,1996,0.04,142390.4,
Gatineau,1997,0.04,148086.0,
Gatineau,1998,0.04,154009.4,
Gatineau,1999,0.04,160169.8,
Gatineau,2000,0.06,166576.6,
Gatineau,2001,0.06,176571.2,
Gatineau,2002,0.06,187165.4,
Gatineau,2003,0.06,198395.4,
Gatineau,2004,0.06,210299.1,
Gatineau,2005,0.06,222917.0,
Gatineau,2006,0.06,236292.0,
Gatineau,2007,0.06,250469.6,
Gatineau,2008,0.06,265497.7,
Gatineau,2009,0.06,281427.6,
Gatineau,2010,0.05,298313.3,
Gatineau,2011,0.05,313228.9,
Gatineau,2012,0.05,328890.4,
Gatineau,2013,0.05,345334.9,
Gatineau,2014,0.05,362601.6,
Gatineau,2015,0.05,380731.7,
Gatineau,2016,0.05,399768.3,
Gatineau,2017,0.05,419756.7,
Gatineau,2018,0.05,440744.6,
Gatineau,2019,0.05,462781.8,
Gatineau,2020,0.07,485920.9,
Gatineau,2021,0.08,561530.2,recent
Gatineau,2021,0.06,551131.5,average
Gatineau,2022,0.08,600837.3,recent
Gatineau,2022,0.06,589710.7,average
Gatineau,2023,0.08,642895.9,recent
Gatineau,2023,0.06,630990.4,average
Gatineau,2024,0.08,687898.6,recent
Gatineau,2024,0.06,675159.7,average
Gatineau,2025,0.08,736051.5,recent
Gatineau,2025,0.06,722420.9,average
Sherbrooke,1970,0.05,28000.0,
Sherbrooke,1971,0.05,29400.0,
Sherbrooke,1972,0.05,30870.0,
Sherbrooke,1973,0.05,32413.5,
Sherbrooke,1974,0.05,34034.2,
Sherbrooke,1975,0.05,35735.9,
Sherbrooke,1976,0.05,37522.7,
Sherbrooke,1977,0.05,39398.8,
